CODE,CODETYPE,NAME,ISACTIVE
105411000,SNOMEDCT,Social withdrawal (finding),TRUE
105529008,SNOMEDCT,Lives alone (finding),TRUE
105531004,SNOMEDCT,Housing unsatisfactory (finding),TRUE
105532006,SNOMEDCT,Overcrowded in house (finding),TRUE
10987541000119104,SNOMEDCT,History of military deployment (finding),TRUE
1155680000,SNOMEDCT,Limited access to nutrition supplies (finding),TRUE
1156191002,SNOMEDCT,Housing instability (finding),TRUE
1156192009,SNOMEDCT,Housing instability due to imminent risk of homelessness (finding),TRUE
1156193004,SNOMEDCT,Housing instability due to frequent change in place of residence (finding),TRUE
1156194005,SNOMEDCT,Housing instability following recent homelessness (finding),TRUE
1156195006,SNOMEDCT,Housing instability due to being behind on payments for place of residence (finding),TRUE
1156196007,SNOMEDCT,Housing instability due to threat of eviction (finding),TRUE
12242911000119107,SNOMEDCT,Suspected victim of elder physical abuse (situation),TRUE
12399491000119102,SNOMEDCT,Suspected victim of elder sexual abuse (situation),TRUE
12399531000119102,SNOMEDCT,Suspected victim of elder emotional abuse (situation),TRUE
129698004,SNOMEDCT,At risk for loneliness (finding),TRUE
129832003,SNOMEDCT,Noncompliance with dietary regimen (finding),TRUE
15912911000119102,SNOMEDCT,Suspected victim of elder neglect (situation),TRUE
160695008,SNOMEDCT,Transport too expensive (finding),TRUE
160696009,SNOMEDCT,Transport distance too great (finding),TRUE
160726006,SNOMEDCT,Lives alone no help available (finding),TRUE
160727002,SNOMEDCT,Lives alone needs housekeeper (finding),TRUE
160899000,SNOMEDCT,Recently unemployed (finding),TRUE
160900005,SNOMEDCT,Chronic unemployment (finding),TRUE
224355006,SNOMEDCT,Served in armed forces (finding),TRUE
224974006,SNOMEDCT,Feeling stressed (finding),TRUE
22761000175104,SNOMEDCT,At increased risk for social isolation (finding),TRUE
22791000175108,SNOMEDCT,At increased risk of intimate partner violence (finding),TRUE
266964007,SNOMEDCT,Left military service (finding),TRUE
267076002,SNOMEDCT,Feeling lonely (finding),TRUE
276087003,SNOMEDCT,Deserted from military service (finding),TRUE
288671000119101,SNOMEDCT,Adult victim of physical abuse by female partner (finding),TRUE
288681000119103,SNOMEDCT,Adult victim of physical abuse by male partner (finding),TRUE
293611000119101,SNOMEDCT,History of domestic physical abuse of adult (situation),TRUE
32911000,SNOMEDCT,Homeless (finding),TRUE
412732008,SNOMEDCT,History of domestic violence (situation),TRUE
418150003,SNOMEDCT,Victim of abusive sexual relationship with partner (finding),TRUE
419482003,SNOMEDCT,Served in armed forces in combat (finding),TRUE
419951006,SNOMEDCT,Victim of abusive sexual relationship with husband (finding),TRUE
420180008,SNOMEDCT,Victim of abusive sexual relationship with wife (finding),TRUE
422611005,SNOMEDCT,Minimal outside social stimulation (finding),TRUE
422650009,SNOMEDCT,Social isolation (finding),TRUE
422786001,SNOMEDCT,Lacks emotional support (finding),TRUE
423315002,SNOMEDCT,Limited social contact (finding),TRUE
424582000,SNOMEDCT,Stress overload (finding),TRUE
424629004,SNOMEDCT,Transportation barrier impedes ability to use community resources (finding),TRUE
425022003,SNOMEDCT,Inadequate social support (finding),TRUE
441879005,SNOMEDCT,No contact with family (finding),TRUE
442347009,SNOMEDCT,Emotional stress (finding),TRUE
445071000124105,SNOMEDCT,Receives no social support (finding),TRUE
445281000124101,SNOMEDCT,Nutrition impaired due to limited access to healthful foods (finding),TRUE
454061000124102,SNOMEDCT,Unable to afford medication (finding),TRUE
459601000124108,SNOMEDCT,Victim of elder physical abuse (finding),TRUE
459611000124106,SNOMEDCT,History of victim of elder physical abuse (situation),TRUE
459901000124103,SNOMEDCT,History of victim of elder sexual abuse (situation),TRUE
470911000124109,SNOMEDCT,Mild food insecurity on United States household food security survey module (finding),TRUE
470941000124108,SNOMEDCT,Moderate food insecurity on United States household food security survey module (finding),TRUE
470951000124105,SNOMEDCT,Severe food insecurity on United States household food security survey module (finding),TRUE
471981000124106,SNOMEDCT,Substandard housing caused by structural insufficiency (finding),TRUE
471991000124109,SNOMEDCT,Residence does not meet functional needs (finding),TRUE
472001000124106,SNOMEDCT,At risk of housing code violation (finding),TRUE
5311000175103,SNOMEDCT,Unable to afford visit copayment (finding),TRUE
5371000175108,SNOMEDCT,Unable to afford glucose monitoring device (finding),TRUE
5521000175101,SNOMEDCT,Unable to afford blood pressure monitor (finding),TRUE
5731000175109,SNOMEDCT,Unable to afford weight scale (finding),TRUE
697957000,SNOMEDCT,Suspected elderly person maltreatment (situation),TRUE
704349002,SNOMEDCT,At risk of elder abuse (finding),TRUE
704489009,SNOMEDCT,Lack of family support (finding),TRUE
