CODE,CODETYPE,NAME,ISACTIVE
1002223009,SNOMEDCT,Assessment of progress toward goals to achieve food security (procedure),TRUE
1002224003,SNOMEDCT,Assessment for food insecurity (procedure),TRUE
1002225002,SNOMEDCT,Assessment of barriers in food insecurity care plan (procedure),TRUE
1004109000,SNOMEDCT,Assessment of goals to achieve food security (procedure),TRUE
1004110005,SNOMEDCT,Coordination of resources to address food insecurity (procedure),TRUE
103699006,SNOMEDCT,Patient referral to dietitian (procedure),TRUE
1148446004,SNOMEDCT,Education about legal aid (procedure),TRUE
1148447008,SNOMEDCT,Assessment for housing insecurity (procedure),TRUE
1148812007,SNOMEDCT,Assessment of progress toward goals to achieve housing security (procedure),TRUE
1148813002,SNOMEDCT,Assessment of barriers in inadequate housing care plan (procedure),TRUE
1148814008,SNOMEDCT,Assessment of goals to achieve housing security (procedure),TRUE
1148815009,SNOMEDCT,Assessment of goals to achieve adequate housing (procedure),TRUE
1148817001,SNOMEDCT,Assessment of barriers in housing insecurity care plan (procedure),TRUE
1148818006,SNOMEDCT,Coordination of services to assist with maintaining housing security (procedure),TRUE
1148823006,SNOMEDCT,Assessment of progress toward goals to achieve adequate housing (procedure),TRUE
171002009,SNOMEDCT,Vocational counseling (procedure),TRUE
1759002,SNOMEDCT,Assessment of nutritional status (procedure),TRUE
183524004,SNOMEDCT,Referral to psychiatry service (procedure),TRUE
183583007,SNOMEDCT,Refer to mental health worker (procedure),TRUE
183851006,SNOMEDCT,Referral to clinic (procedure),TRUE
183866009,SNOMEDCT,Referral to emergency clinic (procedure),TRUE
18781004,SNOMEDCT,Referral to vocational rehabilitation service (procedure),TRUE
306136006,SNOMEDCT,Referral to liaison psychiatry service (procedure),TRUE
306137002,SNOMEDCT,Referral to mental handicap psychiatry service (procedure),TRUE
306226009,SNOMEDCT,Referral to mental health counseling service (procedure),TRUE
306227000,SNOMEDCT,Referral for mental health counseling (procedure),TRUE
306252003,SNOMEDCT,Referral to mental health counselor (procedure),TRUE
306291008,SNOMEDCT,Referral to child and adolescent psychiatrist (procedure),TRUE
308440001,SNOMEDCT,Referral to social worker (procedure),TRUE
308459004,SNOMEDCT,Referral to psychologist (procedure),TRUE
308477009,SNOMEDCT,Referral to psychiatrist (procedure),TRUE
309627007,SNOMEDCT,Child referral - clinical psychologist (procedure),TRUE
313082002,SNOMEDCT,Employment education (procedure),TRUE
